id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
tt1251757,Middle Men,(2009),6.8,R,105 min,"Comedy, Crime, Drama",37611,"723,714",nm0303032,George Gallo,"nm0005561,nm0000610,nm0532683,nm0001001","Luke Wilson,Giovanni Ribisi,Gabriel Macht,James Caan","Chronicles Jack Harris, one of the pioneers of Internet commerce, as he wrestles with his morals and struggles not to drown in a sea of con men, mobsters, drug addicts, and porn stars."
tt4158096,Free Fire,(2016),6.3,R,91 min,"Action, Comedy, Crime",46677,"1,798,472",nm1296554,Ben Wheatley,"nm1663205,nm0488953,nm2309517,nm0614165","Sharlto Copley,Brie Larson,Armie Hammer,Cillian Murphy","Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shoot-out and a game of survival."
tt14270702,God Is a Bullet,(2100 - ),11.0,Not Certified,0 min,"Crime, Thriller",0,0,nm0001024,Nick Cassavetes,"nm2140860,nm0839486,nm0004937,nm0005064","Maika Monroe,Ethan Suplee,Jamie Foxx,January Jones",When vice detective Bob Hightower finds his ex-wife murdered and daughter kidnapped by a satanic cult - Bob is frustrated by bumbling botched official investigations. Bob quits the police ...                See full summary »
tt0221218,The Glass House,(2001),5.8,PG-13,106 min,"Crime, Drama, Mystery",37000,"18,001,232",nm0755261,Daniel Sackheim,"nm0000178,nm0005447,nm0001745,nm0001136","Diane Lane,Leelee Sobieski,Stellan Skarsgård,Bruce Dern",An orphaned teenager is taken in by a Malibu couple but discovers they aren't the caring friends they seemed to be.
tt2393813,Graceland,(2013–2015),7.6,TV-14,42 min,"Action, Crime, Drama","16,936","18,001,232",Anonymous,nm0000000,"nm0839326,nm3117836,nm1089685,nm2861303","Daniel Sunjata,Aaron Tveit,Vanessa Ferlito,Manny Montana","A rookie FBI agent is sent to a house for undercover agents in Southern California, where he is trained by a former legend FBI agent."
tt0067927,Vanishing Point,(1971),7.2,R,99 min,"Action, Crime, Thriller","28,555","18,001,232",nm0764781,Richard C. Sarafian,"nm0628017,nm0001476,nm0001648,nm0415591","Barry Newman,Cleavon Little,Charlotte Rampling,Dean Jagger","During the 1970s, car delivery driver Kowalski delivers hot rods in record time but always runs into trouble with the highway cops."
tt18970124,Conversations with a Killer: The John Wayne Gacy Tapes,(2022),7.1,TV-MA,183 min,"Documentary, Biography, Crime","6,026","18,001,232",Anonymous,nm0000000,"nm4807810,nm13593032,nm4807796,nm12435322","Sam Amirante,Greg Bedoe,Rafael Tovar,Michael Albrecht",Never-before-heard audio from the interrogation of serial killer John Wayne Gacy threads through this chilling look at his 1970s murder spree.
tt0099850,Internal Affairs,(1990),6.5,R,115 min,"Crime, Drama, Thriller",20050,"27,734,391",nm0001214,Mike Figgis,"nm0000152,nm0000412,nm0001802,nm0582418","Richard Gere,Andy Garcia,Nancy Travis,Laurie Metcalf",An Internal Affairs agent becomes obsessed with bringing down a cop who has managed to maintain a spotless reputation despite being involved in a web of corruption.
tt0891527,Lions for Lambs,(2007),6.2,R,92 min,"Crime, Drama, Mystery",50004,"14,998,070",nm0000602,Robert Redford,"nm0000129,nm0000658,nm0000602,nm0671567","Tom Cruise,Meryl Streep,Robert Redford,Michael Peña","Injuries sustained by two Army rangers behind enemy lines in Afghanistan set off a sequence of events involving a congressman, a journalist and a professor."
tt0071036,Porridge,(1974–1977),8.3,TV-14,45 min,"Comedy, Crime","6,194","14,998,070",Anonymous,nm0000000,"nm0054985,nm0928415,nm0533161,nm0065764","Ronnie Barker,Brian Wilde,Fulton Mackay,Richard Beckinsale","The prison life of Fletcher, a criminal serving a five-year sentence, as he strives to bide his time, keep his record clean, and refuses to be ground down by the prison system."
tt4430212,Drishyam,(2015),8.2,Not Rated,163 min,"Crime, Drama, Mystery",80173,"739,478",nm1723225,Nishikant Kamat,"nm0222426,nm1328152,nm0007102,nm0438494","Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
tt4465472,Rosewood,(2015–2017),6.6,TV-14,42 min,"Crime, Drama, Mystery","7,968","739,478",Anonymous,nm0000000,"nm0004820,nm1632786,nm1827488,nm5193396","Morris Chestnut,Jaina Lee Ortiz,Gabrielle Dennis,Anna Konkle","Miami pathologist Dr. Beaumont Rosewood, Jr. finds secrets in people's bodies using his state-of-the-art laboratory equipment."
tt9466298,Ghost in the Shell SAC_2045,(2020– ),6.2,TV-MA,25 min,"Animation, Action, Crime","2,366","739,478",Anonymous,nm0000000,"nm0258268,nm0569479,nm0153100,nm1043186","Richard Epcar,Mary Elizabeth McGlynn,Melissa Fahn,Dave Wittenberg","Hired as a mercenary unit, the former members of Japan's elite Section 9 are faced with the sudden appearance of ""Post-Human,"" a being with tremendous intelligence and physical capabilities."
tt0113501,Just Cause,(1995),6.4,R,102 min,"Action, Crime, Drama",27115,"36,853,222",nm0322865,Arne Glimcher,"nm0000125,nm0000401,nm0001009,nm0005516","Sean Connery,Laurence Fishburne,Kate Capshaw,Blair Underwood",A Harvard professor is lured back into the courtroom after twenty-five years to take the case of a young black man condemned to death for the horrific murder of a child.
